url,category_name,category_group,category_description,is_primary,region,language
"https://en.wikipedia.org/wiki/List_of_Telugu_actors","Telugu Film Actor","Regional Cinema","Actors in Telugu cinema industry",true,"India","Telugu"
"https://en.wikipedia.org/wiki/List_of_Tamil_actors","Tamil Film Actor","Regional Cinema","Actors in Tamil cinema industry",true,"India","Tamil"
"https://en.wikipedia.org/wiki/List_of_Malayalam_actors","Malayalam Film Actor","Regional Cinema","Actors in Malayalam cinema industry",true,"India","Malayalam"
"https://en.wikipedia.org/wiki/List_of_Kannada_actors","Kannada Film Actor","Regional Cinema","Actors in Kannada cinema industry",true,"India","Kannada"
"https://en.wikipedia.org/wiki/List_of_Bengali_actors","Bengali Film Actor","Regional Cinema","Actors in Bengali cinema industry",true,"India","Bengali"
"https://en.wikipedia.org/wiki/List_of_American_film_actors","Hollywood Actor","Entertainment & Media","American film actors",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_British_actors_and_actresses","British Actor","Entertainment & Media","British film and TV actors",true,"UK","English"
"https://en.wikipedia.org/wiki/List_of_Indian_cricketers","Cricketer","Sports & Athletics","Professional cricket players from India",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_England_cricket_captains","Cricket Captain","Sports & Athletics","Cricket team captains",false,"England","English"
"https://en.wikipedia.org/wiki/List_of_Indian_footballers","Football Player","Sports & Athletics","Professional football players from India",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Nepal_international_footballers","Nepali Football Player","Sports & Athletics","Nepali international football players",true,"Nepal","Nepali"
"https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States","US President","Politics & Government","Presidents of the United States of America",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom","UK Prime Minister","Politics & Government","Prime Ministers of the United Kingdom",true,"UK","English"
"https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Canada","Canadian Prime Minister","Politics & Government","Prime Ministers of Canada",true,"Canada","English"
"https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Australia","Australian Prime Minister","Politics & Government","Prime Ministers of Australia",true,"Australia","English"
"https://en.wikipedia.org/wiki/List_of_prime_ministers_of_India","Indian Prime Minister","Politics & Government","Prime Ministers of India",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_former_United_States_senators","Former US Senator","Politics & Government","Former United States Senators",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_governors_of_California","California Governor","Politics & Government","Governors of California",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_governors_of_New_York","New York Governor","Politics & Government","Governors of New York",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_governors_of_Texas","Texas Governor","Politics & Government","Governors of Texas",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_Chief_Ministers_of_Maharashtra","Maharashtra Chief Minister","Politics & Government","Chief Ministers of Maharashtra",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_actors_with_Hollywood_Walk_of_Fame_motion_picture_stars","Hollywood Walk of Fame Actor","Entertainment & Media","Hollywood actors with Walk of Fame stars",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_Hindi_film_actors","Hindi Film Actor","Entertainment & Media","Actors primarily working in Hindi cinema (Bollywood)",true,"India","Hindi"
"https://en.wikipedia.org/wiki/List_of_Telugu_actors","Telugu Film Actor","Regional Cinema","Actors in Telugu cinema industry",true,"India","Telugu"
"https://en.wikipedia.org/wiki/List_of_Tamil_actors","Tamil Film Actor","Regional Cinema","Actors in Tamil cinema industry",true,"India","Tamil"
"https://en.wikipedia.org/wiki/List_of_Malayalam_actors","Malayalam Film Actor","Regional Cinema","Actors in Malayalam cinema industry",true,"India","Malayalam"
"https://en.wikipedia.org/wiki/List_of_Kannada_actors","Kannada Film Actor","Regional Cinema","Actors in Kannada cinema industry",true,"India","Kannada"
"https://en.wikipedia.org/wiki/List_of_Bengali_actors","Bengali Film Actor","Regional Cinema","Actors in Bengali cinema industry",true,"India","Bengali"
"https://en.wikipedia.org/wiki/List_of_American_film_actors","American Film Actor","Entertainment & Media","American film actors",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_British_actors_and_actresses","British Actor","Entertainment & Media","British film and TV actors",true,"UK","English"
"https://en.wikipedia.org/wiki/List_of_French_actors","French Actor","Entertainment & Media","French film and TV actors",true,"France","French"
"https://en.wikipedia.org/wiki/List_of_German_actors","German Actor","Entertainment & Media","German film and TV actors",true,"Germany","German"
"https://en.wikipedia.org/wiki/List_of_Italian_actors","Italian Actor","Entertainment & Media","Italian film and TV actors",true,"Italy","Italian"
"https://en.wikipedia.org/wiki/List_of_Japanese_actors","Japanese Actor","Entertainment & Media","Japanese film and TV actors",true,"Japan","Japanese"
"https://en.wikipedia.org/wiki/List_of_South_Korean_actors","Korean Actor","Entertainment & Media","South Korean film and TV actors",true,"South Korea","Korean"
"https://en.wikipedia.org/wiki/List_of_Chinese_actors","Chinese Actor","Entertainment & Media","Chinese film and TV actors",true,"China","Chinese"
"https://en.wikipedia.org/wiki/List_of_film_directors","Film Director","Entertainment & Media","International film directors",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_American_film_directors","American Film Director","Entertainment & Media","American film directors",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_Indian_film_directors","Indian Film Director","Entertainment & Media","Indian film directors",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_television_actors","Television Actor","Entertainment & Media","Television actors and actresses",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_stand-up_comedians","Stand-up Comedian","Entertainment & Media","Professional stand-up comedians",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_American_singers","American Singer","Music & Entertainment","American singers across all genres",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_African-American_singers","African-American Singer","Music & Entertainment","African-American singers",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_country_music_performers","Country Music Singer","Music & Entertainment","Country music performers",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_hip_hop_musicians","Hip Hop Artist","Music & Entertainment","Hip hop musicians and rappers",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_rock_musicians","Rock Musician","Music & Entertainment","Rock music performers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_pop_musicians","Pop Singer","Music & Entertainment","Pop music performers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_jazz_musicians","Jazz Musician","Music & Entertainment","Jazz musicians and performers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_classical_musicians","Classical Musician","Music & Entertainment","Classical music performers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Indian_singers","Indian Singer","Music & Entertainment","Indian singers across all genres",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Bollywood_playback_singers","Bollywood Playback Singer","Music & Entertainment","Bollywood playback singers",false,"India","Hindi"
"https://en.wikipedia.org/wiki/List_of_British_musicians","British Musician","Music & Entertainment","British musicians and singers",true,"UK","English"
"https://en.wikipedia.org/wiki/List_of_Indian_cricketers","Indian Cricketer","Sports & Athletics","Professional cricket players from India",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_England_cricketers","English Cricketer","Sports & Athletics","Professional cricket players from England",true,"England","English"
"https://en.wikipedia.org/wiki/List_of_Australian_cricketers","Australian Cricketer","Sports & Athletics","Professional cricket players from Australia",true,"Australia","English"
"https://en.wikipedia.org/wiki/List_of_South_African_cricketers","South African Cricketer","Sports & Athletics","Professional cricket players from South Africa",true,"South Africa","English"
"https://en.wikipedia.org/wiki/List_of_West_Indies_cricketers","West Indies Cricketer","Sports & Athletics","Professional cricket players from West Indies",true,"West Indies","English"
"https://en.wikipedia.org/wiki/List_of_Pakistan_cricketers","Pakistani Cricketer","Sports & Athletics","Professional cricket players from Pakistan",true,"Pakistan","English"
"https://en.wikipedia.org/wiki/List_of_Sri_Lankan_cricketers","Sri Lankan Cricketer","Sports & Athletics","Professional cricket players from Sri Lanka",true,"Sri Lanka","English"
"https://en.wikipedia.org/wiki/List_of_Indian_footballers","Indian Football Player","Sports & Athletics","Professional football players from India",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_England_international_footballers","English Football Player","Sports & Athletics","English international football players",true,"England","English"
"https://en.wikipedia.org/wiki/List_of_Brazil_international_footballers","Brazilian Football Player","Sports & Athletics","Brazilian international football players",true,"Brazil","Portuguese"
"https://en.wikipedia.org/wiki/List_of_Argentina_international_footballers","Argentine Football Player","Sports & Athletics","Argentine international football players",true,"Argentina","Spanish"
"https://en.wikipedia.org/wiki/List_of_Germany_international_footballers","German Football Player","Sports & Athletics","German international football players",true,"Germany","German"
"https://en.wikipedia.org/wiki/List_of_France_international_footballers","French Football Player","Sports & Athletics","French international football players",true,"France","French"
"https://en.wikipedia.org/wiki/List_of_Spain_international_footballers","Spanish Football Player","Sports & Athletics","Spanish international football players",true,"Spain","Spanish"
"https://en.wikipedia.org/wiki/List_of_Italy_international_footballers","Italian Football Player","Sports & Athletics","Italian international football players",true,"Italy","Italian"
"https://en.wikipedia.org/wiki/List_of_NBA_players","NBA Basketball Player","Sports & Athletics","National Basketball Association players",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_tennis_players","Professional Tennis Player","Sports & Athletics","Professional tennis players",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_ATP_number_1_ranked_players","ATP Tennis Champion","Sports & Athletics","ATP World Number 1 tennis players",false,"Global","English"
