url,category_name,category_group,category_description,is_primary,region,language
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Uttar_Pradesh","UP Chief Minister","Politics & Government","Chief Ministers of Uttar Pradesh",true,"India","Hindi"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_West_Bengal","Bengal Chief Minister","Politics & Government","Chief Ministers of West Bengal",true,"India","Bengali"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Gujarat","Gujarat Chief Minister","Politics & Government","Chief Ministers of Gujarat",true,"India","Gujarati"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Tamil_Nadu","Tamil Nadu Chief Minister","Politics & Government","Chief Ministers of Tamil Nadu",true,"India","Tamil"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Karnataka","Karnataka Chief Minister","Politics & Government","Chief Ministers of Karnataka",true,"India","Kannada"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Rajasthan","Rajasthan Chief Minister","Politics & Government","Chief Ministers of Rajasthan",true,"India","Hindi"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Punjab_(India)","Punjab Chief Minister","Politics & Government","Chief Ministers of Punjab",true,"India","Punjabi"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Haryana","Haryana Chief Minister","Politics & Government","Chief Ministers of Haryana",true,"India","Hindi"
"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Madhya_Pradesh","MP Chief Minister","Politics & Government","Chief Ministers of Madhya Pradesh",true,"India","Hindi"
"https://en.wikipedia.org/wiki/List_of_Indian_independence_activists","Freedom Fighter","History & Politics","Indian independence movement leaders",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_social_reformers","Indian Social Reformer","History & Politics","Indian social reform leaders",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Marathi_actors","Marathi Film Actor","Regional Cinema","Marathi film industry actors",true,"India","Marathi"
"https://en.wikipedia.org/wiki/List_of_Gujarati_actors","Gujarati Film Actor","Regional Cinema","Gujarati film industry actors",true,"India","Gujarati"
"https://en.wikipedia.org/wiki/List_of_Punjabi_actors","Punjabi Film Actor","Regional Cinema","Punjabi film industry actors",true,"India","Punjabi"
"https://en.wikipedia.org/wiki/List_of_Bhojpuri_actors","Bhojpuri Film Actor","Regional Cinema","Bhojpuri film industry actors",true,"India","Bhojpuri"
"https://en.wikipedia.org/wiki/List_of_Odia_actors","Odia Film Actor","Regional Cinema","Odia (Oriya) film industry actors",true,"India","Odia"
"https://en.wikipedia.org/wiki/List_of_Assamese_actors","Assamese Film Actor","Regional Cinema","Assamese film industry actors",true,"India","Assamese"
"https://en.wikipedia.org/wiki/List_of_qawwali_singers","Qawwali Singer","Music & Culture","Qawwali music performers",false,"India","Urdu"
"https://en.wikipedia.org/wiki/List_of_ghazal_singers","Ghazal Singer","Music & Culture","Ghazal music performers",false,"India","Urdu"
"https://en.wikipedia.org/wiki/List_of_folk_singers","Folk Singer","Music & Culture","Traditional folk music singers",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_music_directors","Indian Music Director","Music & Culture","Indian film music directors",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_lyricists","Indian Lyricist","Music & Culture","Indian song lyricists",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Hindu_gurus","Hindu Guru","Spirituality & Religion","Hindu spiritual teachers and gurus",true,"India","Sanskrit"
"https://en.wikipedia.org/wiki/List_of_Buddhist_teachers","Buddhist Teacher","Spirituality & Religion","Buddhist spiritual teachers",true,"Nepal","English"
"https://en.wikipedia.org/wiki/List_of_Sikh_gurus","Sikh Guru","Spirituality & Religion","Sikh religious leaders",true,"India","Punjabi"
"https://en.wikipedia.org/wiki/List_of_Jain_acharyas","Jain Acharya","Spirituality & Religion","Jain religious teachers",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_saints","Indian Saint","Spirituality & Religion","Indian religious saints",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_yoga_teachers","Yoga Guru","Spirituality & Religion","Yoga teachers and masters",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_chess_players","Indian Chess Player","Sports & Games","Indian chess grandmasters and players",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_badminton_players","Indian Badminton Player","Sports & Games","Indian badminton players",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_hockey_players","Indian Hockey Player","Sports & Games","Indian field hockey players",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_wrestlers","Indian Wrestler","Sports & Games","Indian wrestling champions",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_boxers","Indian Boxer","Sports & Games","Indian boxing champions",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_athletes","Indian Athlete","Sports & Games","Indian track and field athletes",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_weightlifters","Indian Weightlifter","Sports & Games","Indian weightlifting champions",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_swimmers","Indian Swimmer","Sports & Games","Indian swimming champions",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_business_families","Indian Business Family","Business & Entrepreneurship","Prominent Indian business families",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_industrialists","Indian Industrialist","Business & Entrepreneurship","Indian industrial leaders",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_entrepreneurs","Indian Entrepreneur","Business & Entrepreneurship","Indian startup founders and entrepreneurs",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_richest_Indians","Wealthy Indian","Business & Entrepreneurship","Richest people in India",false,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_judges","Indian Judge","Law & Justice","Indian Supreme Court and High Court judges",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_Indian_lawyers","Indian Lawyer","Law & Justice","Prominent Indian lawyers",false,"India","English"
